City,Hotel_Name,Hotel_over_all_rate,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Free_Wifi
Nefertiti Hotel Luxor (Hotel) (Egypt) deals,Nefertiti Hotel Luxor,Scored 8.6,9.4,8.2,8.6,8.5,8.9,9.5,7.6
"Emilio Hotel (Hotel), Luxor (Egypt) deals",Emilio Hotel,Scored 6.7,7.5,6.7,7.3,6.9,7.0,8.5,5.8
Jolie Ville Hotel & Spa Kings Island Luxor (Resort) (Egypt) deals,Jolie Ville Hotel & Spa Kings Island Luxor,Scored 8.9,9.0,9.1,9.3,9.2,8.9,9.2,8.3
Steigenberger Nile Palace Luxor - Convention Center (Hotel) (Egypt) deals,Steigenberger Nile Palace Luxor - Convention Center,Scored 9.1,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) deals",Steigenberger Resort Achti,Scored 8.6,9.0,8.7,8.9,9.0,8.6,9.1,8.4
"Sonesta St. George Hotel - Convention Center (Hotel), Luxor (Egypt) deals",Sonesta St. George Hotel - Convention Center,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Pyramisa Hotel Luxor (Hotel) (Egypt) deals,Pyramisa Hotel Luxor,Scored 8.3,8.9,8.2,8.5,8.5,8.3,9.1,6.3
Pavillon Winter Luxor (Hotel) (Egypt) deals,Pavillon Winter Luxor,Scored 9,9.3,9.0,9.2,9.3,8.9,9.7,8.6
Hilton Luxor Resort & Spa (Resort) (Egypt) deals,Hilton Luxor Resort & Spa,Scored 9.1,9.3,9.2,9.3,9.3,8.7,9.3,No Rate
"Jewel Howard Carter Hotel (Hotel), Luxor (Egypt) deals",Jewel Howard Carter Hotel,Scored 9,9.5,9.1,9.4,9.3,9.3,8.1,6.1
MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday (Cruise) (Egypt) deals,MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday,Scored 9.1,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Full Moon House (Apartment), Luxor (Egypt) deals",Full Moon House,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"IN LUXOR Nile Apartments (Apartment), Luxor (Egypt) deals",IN LUXOR Nile Apartments,Scored 8.8,9.4,8.5,8.7,8.9,9.2,8.9,9.5
Jaz Crown Jewel Nile Cruise - Every Saturday from Luxor for 07 & 04 Nights - Every Wednesday From Aswan for 03 Nights (Cruise) (Egypt) deals,Jaz Crown Jewel Nile Cruise - Every Saturday from Luxor for 07 & 04 Nights - Every Wednesday From Aswan for 03 Nights,Scored 9,9.6,9.0,8.9,9.2,9.3,8.9,No Rate
"Nefertari Nile Cruise From Luxor 4&7 Nights, Every Saturday, Monday And Thursday Including tours (Resort) (Egypt) deals","Nefertari Nile Cruise From Luxor 4&7 Nights, Every Saturday, Monday And Thursday Including tours",Scored 9.2,9.5,8.6,9.0,9.2,8.8,9.4,No Rate
Steigenberger Legacy Nile Cruise - Every Monday 07 & 04 Nights from Luxor - Every Friday 03 Nights from Aswan (Cruise) (Egypt) deals,Steigenberger Legacy Nile Cruise - Every Monday 07 & 04 Nights from Luxor - Every Friday 03 Nights from Aswan,Scored 8,8.9,7.8,8.5,8.2,7.9,8.5,3.1
Steigenberger Minerva Nile Cruise - Every Thursday from Luxor for 07 & 04 Nights - Every Monday From Aswan for 03 Nights (Cruise) (Egypt) deals,Steigenberger Minerva Nile Cruise - Every Thursday from Luxor for 07 & 04 Nights - Every Monday From Aswan for 03 Nights,Scored 9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"M/S Nephtis Nile Cruise (Cruise), Luxor (Egypt) deals",M/S Nephtis Nile Cruise,Scored 8,8.0,8.5,9.5,8.5,8.5,8.5,No Rate
Jaz Crown Prince Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights (Cruise) (Egypt) deals,Jaz Crown Prince Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights,Scored 9,9.3,8.6,9.4,8.8,8.5,9.0,No Rate
Iberotel Crown Empress Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights (Cruise) (Egypt) deals,Iberotel Crown Empress Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights,Scored 8.6,9.5,8.8,9.5,9.3,8.5,8.7,No Rate
"Kemet House (Guest house), Luxor (Egypt) deals",Kemet House,Scored 9.9,9.9,9.9,9.9,10.0,10.0,9.9,9.2
Dar Lina Guesthouse Luxor (Guest house) (Egypt) deals,Dar Lina Guesthouse Luxor,Scored 9.7,9.8,9.8,9.9,9.9,9.6,9.7,No Rate
Nefertiti Hotel Luxor (Hotel) (Egypt) deals,Nefertiti Hotel Luxor,Scored 8.6,9.4,8.2,8.6,8.5,8.9,9.5,7.6
"Sekhmet Appartement 3 chambres (Apartment), Luxor (Egypt) deals",Sekhmet Appartement 3 chambres,Scored 9.5,10,10,10,10,10,10,No Rate
Jolie Ville Hotel & Spa Kings Island Luxor (Resort) (Egypt) deals,Jolie Ville Hotel & Spa Kings Island Luxor,Scored 8.9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Steigenberger Nile Palace Luxor - Convention Center (Hotel) (Egypt) deals,Steigenberger Nile Palace Luxor - Convention Center,Scored 9.1,9.4,9.2,9.4,9.4,9.0,9.4,8.4
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) deals",Steigenberger Resort Achti,Scored 8.6,9.0,8.7,8.9,9.0,8.6,9.1,8.4
Iberotel Luxor (Hotel) (Egypt) deals,Iberotel Luxor,Scored 8.5,8.9,8.5,8.8,8.8,8.4,9.4,7.3
"Sonesta St. George Hotel - Convention Center (Hotel), Luxor (Egypt) deals",Sonesta St. George Hotel - Convention Center,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Pyramisa Hotel Luxor (Hotel) (Egypt) deals,Pyramisa Hotel Luxor,Scored 8.3,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Pavillon Winter Luxor (Hotel) (Egypt) deals,Pavillon Winter Luxor,Scored 9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Nile Treasure Cruise - 4 or 7 Nights From Luxor each Saturday and 3 or 7 Nights From Aswan each Wednesday (Cruise) (Egypt) deals,Nile Treasure Cruise - 4 or 7 Nights From Luxor each Saturday and 3 or 7 Nights From Aswan each Wednesday,Scored 8.7,9.5,8.4,8.8,8.9,8.6,9.3,No Rate
Hilton Luxor Resort & Spa (Resort) (Egypt) deals,Hilton Luxor Resort & Spa,Scored 9.1,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Jewel Howard Carter Hotel (Hotel), Luxor (Egypt) deals",Jewel Howard Carter Hotel,Scored 9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday (Cruise) (Egypt) deals,MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday,Scored 9.1,9.6,9.1,9.3,9.5,9.2,9.5,2.5
"Full Moon House (Apartment), Luxor (Egypt) deals",Full Moon House,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"IN LUXOR Nile Apartments (Apartment), Luxor (Egypt) deals",IN LUXOR Nile Apartments,Scored 8.8,9.4,8.5,8.7,8.9,9.2,8.9,9.5
"Malkata House - Boutique hotel and restaurant (Apartment), Luxor (Egypt) deals",Malkata House - Boutique hotel and restaurant,Scored 9.5,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Jaz Crown Jewel Nile Cruise - Every Saturday from Luxor for 07 & 04 Nights - Every Wednesday From Aswan for 03 Nights (Cruise) (Egypt) deals,Jaz Crown Jewel Nile Cruise - Every Saturday from Luxor for 07 & 04 Nights - Every Wednesday From Aswan for 03 Nights,Scored 9,9.6,9.0,8.9,9.2,9.3,8.9,No Rate
"Nefertari Nile Cruise From Luxor 4&7 Nights, Every Saturday, Monday And Thursday Including tours (Resort) (Egypt) deals","Nefertari Nile Cruise From Luxor 4&7 Nights, Every Saturday, Monday And Thursday Including tours",Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Steigenberger Legacy Nile Cruise - Every Monday 07 & 04 Nights from Luxor - Every Friday 03 Nights from Aswan (Cruise) (Egypt) deals,Steigenberger Legacy Nile Cruise - Every Monday 07 & 04 Nights from Luxor - Every Friday 03 Nights from Aswan,Scored 8,8.9,7.8,8.5,8.2,7.9,8.5,3.1
Sofitel Winter Palace Luxor (Hotel) (Egypt) deals,Sofitel Winter Palace Luxor,Scored 8.8,9.1,8.7,9.1,9.1,8.1,9.6,8.2
Aracan Eatabe Luxor Hotel (Hotel) (Egypt) deals,Aracan Eatabe Luxor Hotel,Scored 8.6,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
M/Y Alexander The Great Nile Cruise - 4 Nights Every Monday From Luxor - 3 Nights Every Friday from Aswan (Cruise) (Egypt) deals,M/Y Alexander The Great Nile Cruise - 4 Nights Every Monday From Luxor - 3 Nights Every Friday from Aswan,Scored 8.5,9.1,8.3,8.9,8.6,7.9,8.2,No Rate
Steigenberger Minerva Nile Cruise - Every Thursday from Luxor for 07 & 04 Nights - Every Monday From Aswan for 03 Nights (Cruise) (Egypt) deals,Steigenberger Minerva Nile Cruise - Every Thursday from Luxor for 07 & 04 Nights - Every Monday From Aswan for 03 Nights,Scored 9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"M/S Nephtis Nile Cruise (Cruise), Luxor (Egypt) deals",M/S Nephtis Nile Cruise,Scored 8,8.0,8.5,9.5,8.5,8.5,8.5,No Rate
