City,Hotel Name,Reviewer Name,Reviewer Nationality,Duration,Check-in Date,Travel Type,Room Type,Review Date,Positive Review,Negative Review
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Esnobi,Singapore,2 nights · ,October 2022,Group,Double Room,"Reviewed: October 16, 2022","PERFECT location right by the Luxor temple with a lovely roof terrace for meals. Hotel has a tie-up with Magic Carpet Travel company which arranged hot air balloon, felucca and day tours for us at good prices. Breakfast was a buffet selection with omelette station - a treat indeed. Hotel had a nice design concept. Most importantly, we made new friends from different countries and we really enjoyed discovering Luxor together!",No Negative Feedback
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Alice05,Italy,1 night · ,February 2025,Solo traveler,Double Room,"Reviewed: February 4, 2025",Great location,The room does not exactly reflect the photos. Wifi went on and off. Very small bathroom.
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Tiongjp,Malaysia,2 nights · ,January 2025,Family,Twin Room,"Reviewed: February 4, 2025",In the town center. Few steps to Luxor Temple. Good restaurant on the roof top. Night market is behind the hotel.,"This hotel is without lift. If your room is on 4th floor, you have to walk all the way on the staircase up to 4th floor. For your luggage, the hotel staff can assist to carry it to your room."
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Hongtao,China,3 nights · ,January 2025,Couple,Twin Room,"Reviewed: February 4, 2025","Nice location, close to Luxor temple. Good view in the rooftop restaurant. Friendly staff.",Room is not so big.
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Robert,United States,2 nights · ,February 2025,Solo traveler,Double Room,"Reviewed: February 4, 2025","The location, staff, rooftop restaurant, service.",No Negative Feedback
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Vani,New Zealand,1 night · ,January 2025,Family,Triple Room,"Reviewed: February 4, 2025","Excellent staff, love the roof top restaurant. Great food and great accessibility with view of the Temple of Luxor
We loved it.","The rooms were not an accurate depiction as shown on Booking.com
Room was run down and the bathroom was uncomfortable but we only stayed 1 night"
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,David,United Kingdom,2 nights · ,February 2025,Solo traveler,Single Room,"Reviewed: February 3, 2025",Central,No Negative Feedback
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Tony,France,1 night · ,January 2025,Couple,Triple Room,"Reviewed: February 3, 2025","Great hotel, located in the heart of Luxor, just off the busy shopping bazaar and with a wonderful rooftop terrace restaurant with spectacular views of the Nile, Luxor temple and the street life below.
Fabulous restaurant, some of the best food we have eaten in Egypt and definitely the best Egyptian breakfast by far.
I have to say the staff are wonderful, very welcoming, always with a ready smile and incredible helpful. My only regret is we didn't stay longer. Definitely on my wishlist to go back.
Oh, and don't miss the beautiful sunsets from the terrace, it's amazing.","Nothing to complain about, the entrance is tucked away off the main street and is accessed from the entrance to the bazaar. Once inside it gets better and better so don't be put off by the entrance."
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Pierina,Egypt,3 nights · ,February 2025,Family,Triple Room,"Reviewed: February 2, 2025","Location is amazing. Walking distance to the luxor museum, mummification museum and across the street from luxor temple. The rooftop view is amazing as well. Every single staff member was so helpful, respectful and friendly. Breakfast is delicious.",The showers need to be made as proper showers. It was the only thing that was uncomfortable.
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,James,Hong Kong,2 nights · ,January 2025,Solo traveler,Single Room,"Reviewed: February 2, 2025","Lovely hotel! Lovely friendly staff. And the tour I booked through them was one of the best I’ve ever done. Massive breakfast selection and the view from the restaurant is incredible, especially early morning when you can see the hot air balloons.",No Negative Feedback
